===== DISM Feature Snapshot =====

Deployment Image Servicing and Management tool
Version: 10.0.26100.5074

Image Version: 10.0.26200.8246

Features listing for package : Microsoft-Windows-Foundation-Package~31bf3856ad364e35~amd64~~10.0.26100.1


------------------------------------------- | -----------------------------
Feature Name                                | State                        
------------------------------------------- | -----------------------------
Printing-XPSServices-Features               | Disabled                     
TelnetClient                                | Disabled                     
TFTP                                        | Disabled                     
TIFFIFilter                                 | Disabled                     
VirtualMachinePlatform                      | Enabled                      
Client-ProjFS                               | Disabled                     
SimpleTCP                                   | Disabled                     
WorkFolders-Client                          | Enabled                      
NetFx3                                      | Disabled with Payload Removed
WCF-HTTP-Activation                         | Disabled                     
WCF-NonHTTP-Activation                      | Disabled                     
IIS-WebServerRole                           | Disabled                     
IIS-WebServer                               | Disabled                     
IIS-CommonHttpFeatures                      | Disabled                     
IIS-HttpErrors                              | Disabled                     
IIS-HttpRedirect                            | Disabled                     
IIS-ApplicationDevelopment                  | Disabled                     
IIS-Security                                | Disabled                     
IIS-RequestFiltering                        | Disabled                     
IIS-NetFxExtensibility                      | Disabled                     
IIS-NetFxExtensibility45                    | Disabled                     
IIS-HealthAndDiagnostics                    | Disabled                     
IIS-HttpLogging                             | Disabled                     
IIS-LoggingLibraries                        | Disabled                     
IIS-RequestMonitor                          | Disabled                     
IIS-HttpTracing                             | Disabled                     
IIS-URLAuthorization                        | Disabled                     
IIS-IPSecurity                              | Disabled                     
IIS-Performance                             | Disabled                     
IIS-HttpCompressionDynamic                  | Disabled                     
IIS-WebServerManagementTools                | Disabled                     
IIS-ManagementScriptingTools                | Disabled                     
IIS-IIS6ManagementCompatibility             | Disabled                     
IIS-Metabase                                | Disabled                     
WAS-WindowsActivationService                | Disabled                     
WAS-ProcessModel                            | Disabled                     
WAS-NetFxEnvironment                        | Disabled                     
WAS-ConfigurationAPI                        | Disabled                     
IIS-HostableWebCore                         | Disabled                     
WCF-Services45                              | Enabled                      
WCF-HTTP-Activation45                       | Disabled                     
WCF-TCP-Activation45                        | Disabled                     
WCF-Pipe-Activation45                       | Disabled                     
WCF-MSMQ-Activation45                       | Disabled                     
WCF-TCP-PortSharing45                       | Enabled                      
IIS-CertProvider                            | Disabled                     
IIS-WindowsAuthentication                   | Disabled                     
IIS-DigestAuthentication                    | Disabled                     
IIS-ClientCertificateMappingAuthentication  | Disabled                     
IIS-IISCertificateMappingAuthentication     | Disabled                     
IIS-ODBCLogging                             | Disabled                     
IIS-StaticContent                           | Disabled                     
IIS-DefaultDocument                         | Disabled                     
IIS-DirectoryBrowsing                       | Disabled                     
IIS-WebDAV                                  | Disabled                     
IIS-WebSockets                              | Disabled                     
IIS-ApplicationInit                         | Disabled                     
IIS-ISAPIFilter                             | Disabled                     
IIS-ISAPIExtensions                         | Disabled                     
IIS-ASPNET                                  | Disabled                     
IIS-ASPNET45                                | Disabled                     
IIS-ASP                                     | Disabled                     
IIS-CGI                                     | Disabled                     
IIS-ServerSideIncludes                      | Disabled                     
IIS-CustomLogging                           | Disabled                     
IIS-BasicAuthentication                     | Disabled                     
IIS-HttpCompressionStatic                   | Disabled                     
IIS-ManagementConsole                       | Disabled                     
IIS-ManagementService                       | Disabled                     
IIS-WMICompatibility                        | Disabled                     
IIS-LegacyScripts                           | Disabled                     
IIS-FTPServer                               | Disabled                     
IIS-FTPSvc                                  | Disabled                     
IIS-FTPExtensibility                        | Disabled                     
MSMQ-Container                              | Disabled                     
MSMQ-DCOMProxy                              | Disabled                     
MSMQ-Server                                 | Disabled                     
MSMQ-ADIntegration                          | Disabled                     
MSMQ-HTTP                                   | Disabled                     
MSMQ-Multicast                              | Disabled                     
MSMQ-Triggers                               | Disabled                     
SMB1Protocol-Deprecation                    | Disabled                     
MediaPlayback                               | Enabled                      
WindowsMediaPlayer                          | Enabled                      
DirectoryServices-ADAM-Client               | Disabled                     
SmbDirect                                   | Enabled                      
AppServerClient                             | Disabled                     
LegacyComponents                            | Disabled                     
DirectPlay                                  | Disabled                     
NetFx4-AdvSrvs                              | Enabled                      
NetFx4Extended-ASPNET45                     | Enabled                      
Printing-PrintToPDFServices-Features        | Enabled                      
MSRDC-Infrastructure                        | Enabled                      
ServicesForNFS-ClientOnly                   | Disabled                     
ClientForNFS-Infrastructure                 | Disabled                     
NFS-Administration                          | Disabled                     
Windows-Defender-Default-Definitions        | Disabled                     
Windows-Identity-Foundation                 | Disabled                     
SMB1Protocol                                | Disabled                     
SMB1Protocol-Client                         | Disabled                     
SMB1Protocol-Server                         | Disabled                     
SearchEngine-Client-Package                 | Enabled                      
Sysmon                                      | Disabled                     
Sysmon-Service                              | Disabled                     
Printing-Foundation-Features                | Enabled                      
Printing-Foundation-InternetPrinting-Client | Enabled                      
Printing-Foundation-LPDPrintService         | Disabled                     
Printing-Foundation-LPRPortMonitor          | Disabled                     
Client-DeviceLockdown                       | Disabled                     
Client-EmbeddedShellLauncher                | Disabled                     
Client-EmbeddedBootExp                      | Disabled                     
Client-EmbeddedLogon                        | Disabled                     
Client-KeyboardFilter                       | Disabled                     
Client-UnifiedWriteFilter                   | Disabled                     
DataCenterBridging                          | Disabled                     
HypervisorPlatform                          | Enabled                      
Microsoft-Windows-Subsystem-Linux           | Enabled                      
Microsoft-Hyper-V-All                       | Enabled                      
Microsoft-Hyper-V                           | Enabled                      
Microsoft-Hyper-V-Tools-All                 | Enabled                      
Microsoft-Hyper-V-Management-PowerShell     | Enabled                      
Microsoft-Hyper-V-Hypervisor                | Enabled                      
Microsoft-Hyper-V-Services                  | Enabled                      
Microsoft-Hyper-V-Management-Clients        | Enabled                      
HostGuardian                                | Disabled                     
Containers-DisposableClientVM               | Enabled                      
Containers-Server-For-Application-Guard     | Enabled                      
HyperV-KernelInt-VirtualDevice              | Disabled                     
HyperV-Guest-KernelInt                      | Disabled                     
Containers                                  | Enabled                      
Containers-HNS                              | Enabled                      
Containers-SDN                              | Enabled                      
MultiPoint-Connector                        | Disabled                     
MultiPoint-Connector-Services               | Disabled                     
MultiPoint-Tools                            | Disabled                     

The operation completed successfully.
